Asset,Model,CV_Accuracy,CV_F1_Score,Test_Accuracy,Test_F1_Score,Test_Precision,Test_Recall,Test_ROC_AUC,Is_Best_Model,Selection_Score
META,Logistic Regression,0.3664335664335664,0.3167696181789242,0.34864864864864864,0.2897981328070739,0.3391262024736601,0.34864864864864864,0.5410898174742568,False,0.3416015923062453
META,Random Forest,0.36923076923076925,0.32470502620498914,0.35405405405405405,0.19378274294833991,0.22992277992277996,0.35405405405405405,0.49913743651157844,True,0.34696789771787917
META,Decision Tree,0.35384615384615387,0.31221574983109956,0.3216216216216216,0.2226302758217652,0.27963002883242166,0.3216216216216216,0.47847769412128677,False,0.33303095183862674
META,XGBoost,0.3328671328671328,0.30183082305005937,0.32972972972972975,0.2563458783864985,0.31070095605809894,0.32972972972972975,0.498611185055693,False,0.31734897795859607
META,KNN,0.31188811188811194,0.2965422429052876,0.33783783783783783,0.22809221430258947,0.3023857816540743,0.33783783783783783,0.42193366808784427,False,0.3042151773966998
META,AdaBoost,0.3454545454545454,0.29776645014733083,0.35945945945945945,0.30139060018569186,0.38211233961233965,0.35945945945945945,0.49675429027545737,False,0.3216104978009381
WTI,Logistic Regression,0.3680555555555556,0.34023587713756304,0.39622641509433965,0.39095180791799317,0.39340915149540484,0.39622641509433965,0.559044447919196,True,0.35414571634655934
WTI,Random Forest,0.3125,0.28832947090898137,0.3477088948787062,0.3467336569089759,0.35015424704937265,0.3477088948787062,0.5266495917147637,False,0.3004147354544907
WTI,Decision Tree,0.34305555555555556,0.25994924584487994,0.33153638814016173,0.30299572245573786,0.3238453308777073,0.33153638814016173,0.5077774669065401,False,0.3015024007002177
WTI,XGBoost,0.3152777777777778,0.2850095485701408,0.3746630727762803,0.3741577503127631,0.37473397959081506,0.3746630727762803,0.5246946004464904,False,0.30014366317395935
WTI,KNN,0.3305555555555556,0.3005856364320999,0.38005390835579517,0.37871018440738274,0.38648340923877683,0.38005390835579517,0.5252470654668097,False,0.31557059599382775
WTI,AdaBoost,0.3486111111111111,0.3191084360873963,0.3665768194070081,0.3661083410737061,0.3662505498052171,0.3665768194070081,0.533009403519641,False,0.3338597735992537
URTH,Logistic Regression,0.3776223776223776,0.35231411498955845,0.4027027027027027,0.3778319952140184,0.385334729402526,0.4027027027027027,0.5858865450405256,True,0.364968246305968
URTH,Random Forest,0.3090909090909091,0.267210394931785,0.4,0.38266013755053147,0.41522063887349364,0.4,0.5624823236253396,False,0.28815065201134704
URTH,Decision Tree,0.3356643356643357,0.3043115634178776,0.3864864864864865,0.38578215120539366,0.38850835042736814,0.3864864864864865,0.5528417690863522,False,0.31998794954110665
URTH,XGBoost,0.32867132867132864,0.31415564450320244,0.41081081081081083,0.39151420597940123,0.42397108647108644,0.41081081081081083,0.5709537927569253,False,0.32141348658726554
URTH,KNN,0.3230769230769231,0.2981412944132125,0.3108108108108108,0.20587101173087033,0.2420855541654527,0.3108108108108108,0.568471131250476,False,0.3106091087450678
URTH,AdaBoost,0.3440559440559441,0.3273035036983418,0.3945945945945946,0.3954091416630116,0.39688996241085084,0.3945945945945946,0.5789654020020736,False,0.33567972387714295
